Title;Company;Address;Date;Type;Experience
Backend Engineer - Python/Django                                                                    ;Paymob Solutions                                                                                    ;Maadi, Cairo, Egypt                                                                                 ;2021-12-27                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Python Developer                                                                                    ;EXALT Technologies                                                                                  ;Cairo, Egypt                                                                                        ;2021-12-30                                                                                          ;Full Time                                                                                           ;2 - 7 Yrs of Exp                                                                                    
Senior Python Backend Developer                                                                     ;CROCOSOFT                                                                                           ;New Cairo, Cairo, Egypt                                                                             ;2021-12-30                                                                                          ;Full Time                                                                                           ;2 - 7 Yrs of Exp                                                                                    
Python Developer                                                                                    ;OdooTec                                                                                             ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Work From Home                                                                                      ;1 - 2 Yrs of Exp                                                                                    
Senior Software Engineer - Python                                                                   ;Paymob Solutions                                                                                    ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Full Stack Developer (Python Backend/ Vue JS Front-End)                                             ;SSC Egypt                                                                                           ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;4 - 7 Yrs of Exp                                                                                    
Senior Python Developer                                                                             ;Andela                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 8 Yrs of Exp                                                                                    
Remote Senior Python Developer                                                                      ;Scopic                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Work From Home                                                                                      ;3 - 20 Yrs of Exp                                                                                   
Senior Full Stack Software Engineer ( Python - React )                                              ;JRM for Communications                                                                              ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Python Developer                                                                                    ;Shebak                                                                                              ;Smart Village, Giza, Egypt                                                                          ;2021-11-03                                                                                          ;Freelance / Project                                                                                 ;0 - 2 Yrs of Exp                                                                                    
Python Programmer                                                                                   ;Right IT Group                                                                                      ;Yanbu, Saudi Arabia                                                                                 ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 7 Yrs of Exp                                                                                    
Python Developer                                                                                    ;RUUF                                                                                                ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Senior Python Developer - Remote                                                                    ;Nile Bits, LLC                                                                                      ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Python Developer (Odoo)                                                                             ;ZAD Solutions                                                                                       ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Python /Django Team Leader                                                                          ;Div Systems                                                                                         ;Mokattam, Cairo, Egypt                                                                              ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 8 Yrs of Exp                                                                                    
Senior Python Developer                                                                             ;Evolvice GmbH                                                                                       ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 7 Yrs of Exp                                                                                    
Python API Developer Ocucon Team (UK) - (Alexandria)                                                ;Procrew                                                                                             ;San Stefano, Alexandria, Egypt                                                                      ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Crevisoft Corporation                                                                               ;Cairo, Egypt                                                                                        ;2021-12-30                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Test Automation Engineer                                                                            ;AFKAR Technology                                                                                    ;Giza, Egypt                                                                                         ;2022-01-03                                                                                          ;Full Time                                                                                           ;3 - 6 Yrs of Exp                                                                                    
Data Scientist                                                                                      ;B.Tech                                                                                              ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;3S Software                                                                                         ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior DevOps Engineer                                                                              ;Evolvice GmbH                                                                                       ;Maadi, Cairo, Egypt                                                                                 ;2021-12-29                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Odoo Developer                                                                                      ;Gap Polymers                                                                                        ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 6 Yrs of Exp                                                                                    
Senior Ruby On Rails Developer                                                                      ;FlairsTech                                                                                          ;Cairo, Egypt                                                                                        ;2022-01-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Junior Python Developer                                                                             ;Confidential                                                                                        ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;0 - 1 Yrs of Exp                                                                                    
Full Stack Developer(Laravel)                                                                       ;FlairsTech                                                                                          ;Cairo, Egypt                                                                                        ;2021-12-28                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Solution Architect ( PHP )                                                                          ;Expand Cart                                                                                         ;6th of October, Giza, Egypt                                                                         ;2021-12-27                                                                                          ;Full Time                                                                                           ;7+ Yrs of Exp                                                                                       
Senior DevOps Engineer                                                                              ;Trufla                                                                                              ;Heliopolis, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 6 Yrs of Exp                                                                                    
Full Stack Developer                                                                                ;Confidential                                                                                        ;Downtown, Cairo, Egypt                                                                              ;2021-12-28                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
DevOps Engineer / Site Reliability Engineer - Jumia Pay                                             ;Jumia                                                                                               ;Cairo, Egypt                                                                                        ;2022-01-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior Software Tester                                                                              ;RDI                                                                                                 ;Dokki, Giza, Egypt                                                                                  ;2021-12-26                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Devops Engineer                                                                                     ;Paymob Solutions                                                                                    ;Maadi, Cairo, Egypt                                                                                 ;2021-12-26                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
ERPNext Developer                                                                                   ;DataSoft                                                                                            ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 1 Yrs of Exp                                                                                    
Devops Engineer                                                                                     ;Kashier Payment Solutions                                                                           ;Zamalek, Cairo, Egypt                                                                               ;2021-12-26                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Big Data Engineer - Jumia Food                                                                      ;Jumia                                                                                               ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Senior Data Engineer                                                                                ;Musala Soft                                                                                         ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Senior IT Infrastructure Software Engineer                                                          ;Quality unit                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Work From Home                                                                                      ;4+ Yrs of Exp                                                                                       
RPA Developer (Automation Anywhere, UiPath, Blue Prism)                                             ;Tarqeem Solutions                                                                                   ;Mohandessin, Giza, Egypt                                                                            ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Senior Data Engineer                                                                                ;LINK Development                                                                                    ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Work From Home                                                                                      ;5+ Yrs of Exp                                                                                       
Enterprise Software Developer                                                                       ;eT3 - Tomorrow Information Technology                                                               ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
